Fecha,Close,Ticker
2021-12-13,169.567505,AMZN
2021-12-13,175.740005,AAPL
2021-12-13,237.350006,VTI
2021-12-13,322.136658,TSLA
2021-12-13,334.48999,META
2021-12-13,339.399994,MSFT
2021-12-13,392.26001,QQQ
2021-12-13,429.01001,VOO
2021-12-13,476.980011,CSPX.L
2021-12-14,28.337,NVDA
2021-12-14,38.860001,XLF
2021-12-14,59.169998,IEMG
2021-12-14,76.580002,EFA
2021-12-14,84.724998,XLK
2021-12-14,143.906998,GOOGL
2021-12-14,150.699997,TLT
2021-12-14,165.440002,GLD
2021-12-14,169.091507,AMZN
2021-12-14,174.330002,AAPL
2021-12-14,235.570007,VTI
2021-12-14,319.503326,TSLA
2021-12-14,328.339996,MSFT
2021-12-14,333.73999,META
2021-12-14,388.200012,QQQ
2021-12-14,426.089996,VOO
2021-12-14,471.309998,CSPX.L
2021-12-15,30.459,NVDA
2021-12-15,38.970001,XLF
2021-12-15,59.029999,IEMG
2021-12-15,77.620003,EFA
2021-12-15,86.970001,XLK
2021-12-15,146.440994,GOOGL
2021-12-15,149.25,TLT
2021-12-15,166.149994,GLD
2021-12-15,173.315002,AMZN
2021-12-15,179.300003,AAPL
2021-12-15,239.199997,VTI
2021-12-15,325.329987,TSLA
2021-12-15,334.649994,MSFT
2021-12-15,341.660004,META
2021-12-15,397.049988,QQQ
2021-12-15,432.75,VOO
2021-12-15,470.920013,CSPX.L
2021-12-16,28.386999,NVDA
2021-12-16,39.459999,XLF
2021-12-16,59.110001,IEMG
2021-12-16,77.629997,EFA
2021-12-16,84.504997,XLK
2021-12-16,144.445007,GOOGL
2021-12-16,149.139999,TLT
2021-12-16,168.160004,GLD
2021-12-16,168.871002,AMZN
2021-12-16,172.259995,AAPL
2021-12-16,236.520004,VTI
2021-12-16,308.973328,TSLA
2021-12-16,324.899994,MSFT
2021-12-16,334.899994,META
2021-12-16,386.839996,QQQ
2021-12-16,428.839996,VOO
2021-12-16,480.140015,CSPX.L
